transaction_id,customer_id,transaction_date
T000001,C0655,2025-01-08
T000002,C0026,2025-02-17
T000003,C0282,2025-01-16
T000004,C0229,2025-01-09
T000005,C0755,2025-01-07
T000006,C0693,2025-02-17
T000007,C0559,2025-01-06
T000008,C0605,2025-01-28
T000009,C0033,2025-01-02
T000010,C0096,2025-01-14
T000011,C0239,2025-02-02
T000012,C0617,2025-01-02
T000013,C0575,2025-01-13
T000014,C0734,2025-02-11
T000015,C0719,2025-02-04
T000016,C0430,2025-01-15
T000017,C0460,2025-02-07
T000018,C0285,2025-02-21
T000019,C0007,2025-02-18
T000020,C0164,2025-02-14
T000021,C0433,2025-01-22
T000022,C0285,2025-01-10
T000023,C0221,2025-02-18
T000024,C0345,2025-01-07
T000025,C0095,2025-01-25
T000026,C0100,2025-01-23
T000027,C0353,2025-02-08
T000028,C0271,2025-02-21
T000029,C0045,2025-02-16
T000030,C0471,2025-02-04
T000031,C0128,2025-03-01
T000032,C0388,2025-01-06
T000033,C0566,2025-01-19
T000034,C0644,2025-02-09
T000035,C0371,2025-02-06
T000036,C0197,2025-02-15
T000037,C0072,2025-01-03
T000038,C0678,2025-01-15
T000039,C0792,2025-01-19
T000040,C0082,2025-02-24
T000041,C0239,2025-02-25
T000042,C0104,2025-01-25
T000043,C0285,2025-01-30
T000044,C0651,2025-02-23
T000045,C0374,2025-01-11
T000046,C0380,2025-01-23
T000047,C0215,2025-02-12
T000048,C0274,2025-02-14
T000049,C0700,2025-02-11
T000050,C0074,2025-02-08
T000051,C0651,2025-01-11
T000052,C0547,2025-02-16
T000053,C0251,2025-01-11
T000054,C0474,2025-01-25
T000055,C0277,2025-03-01
T000056,C0656,2025-02-14
T000057,C0571,2025-01-15
T000058,C0702,2025-01-21
T000059,C0787,2025-02-19
T000060,C0058,2025-01-15
T000061,C0033,2025-02-21
T000062,C0324,2025-01-26
T000063,C0275,2025-01-05
T000064,C0217,2025-02-28
T000065,C0581,2025-02-26
T000066,C0736,2025-01-21
T000067,C0218,2025-02-11
T000068,C0512,2025-01-26
T000069,C0659,2025-01-30
T000070,C0147,2025-01-17
T000071,C0143,2025-01-16
T000072,C0763,2025-02-05
T000073,C0552,2025-01-17
T000074,C0765,2025-02-07
T000075,C0439,2025-02-27
T000076,C0598,2025-01-26
T000077,C0371,2025-01-15
T000078,C0142,2025-02-02
T000079,C0506,2025-01-06
T000080,C0774,2025-01-04
T000081,C0113,2025-01-10
T000082,C0643,2025-01-11
T000083,C0697,2025-01-28
T000084,C0611,2025-01-05
T000085,C0395,2025-01-25
T000086,C0611,2025-01-30
T000087,C0542,2025-01-17
T000088,C0567,2025-02-25
T000089,C0012,2025-02-13
T000090,C0739,2025-01-08
T000091,C0699,2025-02-26
T000092,C0550,2025-02-18
T000093,C0274,2025-02-19
T000094,C0657,2025-01-22
T000095,C0115,2025-01-19
T000096,C0446,2025-01-11
T000097,C0465,2025-01-01
T000098,C0740,2025-02-26
T000099,C0737,2025-01-17
T000100,C0513,2025-02-18
T000101,C0183,2025-02-02
T000102,C0109,2025-02-25
T000103,C0641,2025-01-20
T000104,C0655,2025-02-02
T000105,C0624,2025-01-13
T000106,C0157,2025-01-24
T000107,C0781,2025-01-11
T000108,C0553,2025-02-19
T000109,C0544,2025-02-28
T000110,C0001,2025-02-08
T000111,C0332,2025-02-01
T000112,C0020,2025-01-08
T000113,C0372,2025-02-26
T000114,C0315,2025-01-16
T000115,C0060,2025-01-16
T000116,C0581,2025-03-02
T000117,C0081,2025-01-06
T000118,C0750,2025-02-01
T000119,C0071,2025-02-18
T000120,C0546,2025-02-19
T000121,C0129,2025-01-09
T000122,C0676,2025-01-31
T000123,C0563,2025-01-11
T000124,C0272,2025-02-03
T000125,C0622,2025-01-28
T000126,C0217,2025-03-01
T000127,C0553,2025-02-18
T000128,C0748,2025-02-14
T000129,C0206,2025-02-15
T000130,C0320,2025-01-26
T000131,C0688,2025-02-11
T000132,C0383,2025-01-29
T000133,C0530,2025-01-29
T000134,C0124,2025-01-16
T000135,C0231,2025-01-05
T000136,C0347,2025-01-02
T000137,C0603,2025-02-05
T000138,C0236,2025-02-07
T000139,C0226,2025-01-01
T000140,C0073,2025-02-15
T000141,C0647,2025-01-04
T000142,C0235,2025-01-05
T000143,C0033,2025-02-25
T000144,C0339,2025-01-05
T000145,C0527,2025-01-16
T000146,C0286,2025-02-12
T000147,C0498,2025-01-14
T000148,C0553,2025-01-09
T000149,C0741,2025-03-01
T000150,C0585,2025-02-06
T000151,C0485,2025-01-16
T000152,C0485,2025-02-21
T000153,C0417,2025-01-13
T000154,C0097,2025-01-07
T000155,C0675,2025-01-28
T000156,C0363,2025-01-28
