transaction_id,product_id,quantity
T000001,P016,1
T000001,P015,2
T000002,P008,1
T000002,P006,2
T000002,P009,1
T000003,P013,1
T000003,P012,1
T000004,P007,2
T000004,P006,2
T000004,P009,2
T000005,P014,1
T000005,P016,3
T000005,P015,3
T000006,P008,1
T000006,P009,2
T000007,P007,1
T000007,P009,2
T000008,P002,3
T000008,P004,2
T000008,P003,2
T000009,P003,2
T000009,P001,2
T000009,P005,1
T000010,P014,3
T000010,P016,3
T000010,P015,2
T000011,P007,2
T000011,P006,1
T000012,P014,3
T000012,P016,3
T000012,P015,1
T000013,P007,3
T000013,P006,2
T000013,P008,2
T000014,P004,1
T000014,P003,3
T000014,P001,2
T000014,P005,3
T000015,P014,1
T000015,P016,1
T000015,P015,2
T000016,P014,2
T000016,P016,3
T000017,P007,2
T000017,P009,3
T000018,P007,1
T000018,P009,1
T000019,P006,2
T000019,P008,3
T000019,P009,3
T000020,P002,3
T000020,P003,3
T000020,P001,2
T000021,P016,2
T000021,P015,3
T000022,P012,2
T000022,P010,2
T000022,P011,2
T000023,P007,3
T000023,P006,1
T000024,P002,1
T000024,P003,3
T000024,P001,2
T000025,P008,1
T000025,P006,3
T000025,P009,1
T000026,P004,1
T000026,P001,1
T000026,P005,2
T000027,P007,3
T000027,P008,1
T000028,P004,1
T000028,P002,1
T000029,P014,1
T000029,P015,3
T000030,P013,1
T000030,P012,2
T000031,P012,1
T000031,P010,1
T000031,P011,3
T000032,P007,3
T000032,P006,1
T000032,P008,3
T000033,P002,3
T000033,P005,1
T000034,P003,1
T000034,P004,2
T000034,P005,2
T000035,P014,1
T000035,P016,2
T000035,P015,2
T000036,P013,1
T000036,P012,3
T000036,P010,2
T000037,P013,1
T000037,P010,2
T000038,P014,2
T000038,P016,2
T000038,P015,2
T000039,P004,1
T000039,P002,2
T000040,P012,1
T000040,P011,3
T000041,P016,1
T000041,P015,2
T000042,P013,1
T000042,P012,3
T000042,P010,3
T000043,P008,3
T000043,P007,3
T000043,P009,2
T000044,P016,2
T000044,P015,2
T000045,P014,3
T000045,P016,1
T000045,P015,1
T000046,P006,1
T000046,P008,1
T000046,P009,3
T000047,P006,2
T000047,P008,1
T000048,P013,2
T000048,P012,1
T000048,P010,3
T000049,P001,2
T000049,P003,2
T000049,P002,1
T000049,P005,2
T000050,P014,3
T000050,P015,3
T000051,P013,2
T000051,P012,1
T000051,P010,3
T000052,P007,3
T000052,P008,3
T000052,P009,3
T000053,P003,3
T000053,P002,1
T000053,P005,2
T000054,P014,3
T000054,P015,1
T000055,P014,1
T000055,P016,1
T000055,P015,1
T000056,P007,2
T000056,P006,2
T000056,P009,3
T000057,P003,1
T000057,P001,1
T000058,P007,1
T000058,P006,3
T000058,P008,3
T000058,P009,3
T000059,P012,1
T000059,P010,1
T000059,P011,1
T000060,P008,2
T000060,P009,3
T000061,P007,2
T000061,P006,1
T000061,P009,2
T000062,P016,3
T000062,P015,3
T000063,P012,2
T000063,P010,2
T000063,P011,1
T000064,P014,3
T000064,P016,2
T000064,P015,3
T000065,P012,3
T000065,P010,3
T000066,P002,1
T000066,P004,1
T000066,P003,1
T000066,P001,3
T000067,P003,2
T000067,P004,1
T000067,P005,3
T000068,P007,1
T000068,P006,3
T000068,P008,3
T000068,P009,3
T000069,P002,2
T000069,P003,1
T000069,P001,3
T000069,P005,1
T000070,P013,2
T000070,P012,1
T000070,P011,3
T000071,P003,3
T000071,P004,2
T000071,P001,1
T000072,P007,3
T000072,P006,2
T000072,P009,3
T000073,P014,3
T000073,P016,1
T000074,P013,2
T000074,P012,3
T000074,P010,3
T000075,P014,3
T000075,P016,1
T000075,P015,2
T000076,P003,2
T000076,P002,3
T000076,P005,3
T000077,P014,2
T000077,P016,3
T000077,P015,2
T000078,P002,1
T000078,P001,1
T000078,P005,1
T000079,P016,2
T000079,P015,1
T000080,P014,3
T000080,P016,1
T000080,P015,3
T000081,P001,2
T000081,P004,1
T000081,P003,1
T000081,P002,1
T000082,P016,2
T000082,P015,1
T000083,P014,3
T000083,P015,2
T000084,P007,1
T000084,P006,1
T000084,P008,2
T000085,P014,2
T000085,P016,3
T000085,P015,1
T000086,P007,2
T000086,P009,2
T000087,P004,3
T000087,P001,2
T000088,P016,2
T000088,P015,2
T000089,P014,3
T000089,P015,1
T000090,P012,3
T000090,P010,1
T000090,P011,1
T000091,P014,1
T000091,P016,1
T000091,P015,1
T000092,P007,1
T000092,P006,2
T000093,P013,3
T000093,P012,3
T000093,P010,2
T000093,P011,3
T000094,P014,3
T000094,P015,1
T000095,P013,2
T000095,P011,2
T000095,P010,1
T000096,P013,2
T000096,P011,3
T000097,P001,3
T000097,P004,3
T000097,P002,2
T000098,P014,3
T000098,P016,1
T000098,P015,2
T000099,P007,2
T000099,P006,3
T000099,P009,3
T000100,P008,2
T000100,P006,2
T000100,P009,2
T000101,P004,2
T000101,P003,3
T000101,P002,3
T000101,P005,1
T000102,P014,3
T000102,P016,1
T000102,P015,1
T000103,P007,2
T000103,P006,2
T000103,P008,1
T000104,P002,3
T000104,P003,2
T000104,P001,1
T000105,P012,3
T000105,P010,3
T000106,P012,1
T000106,P010,2
T000106,P011,1
T000107,P007,1
T000107,P008,2
T000107,P006,2
T000107,P009,1
T000108,P001,1
T000108,P004,3
T000108,P003,2
T000109,P001,3
T000109,P004,3
T000109,P002,1
T000109,P005,1
T000110,P007,3
T000110,P006,1
T000110,P008,3
T000111,P008,2
T000111,P009,3
T000112,P001,3
T000112,P004,2
T000112,P003,2
T000112,P002,3
T000113,P002,3
T000113,P005,3
T000114,P006,3
